,set_num,name_sets,year,theme_id,num_parts,name_themes,Released_date,Retired_date,Retail,Value,HPR,HPY,APR
0,5110-2,"Cross Axles, Nuts",1990,453,26,Technic,01.01.1996,01.01.1998,9.46,14.95,1.5803,0.5803,1.0136
1,5233-2,Small Beams and Plates with holes,1993,453,26,Technic,01.01.1980,01.01.1982,3.07,14.04,4.5733,3.5733,1.0503
2,5275-1,Toggle Joints and Connectors,1993,453,48,Technic,01.01.1993,01.01.1995,2.86,4.35,1.521,0.521,1.0136
3,5286-1,Toggle Joints & Connectors,1994,453,64,Technic,01.01.1994,01.01.1996,3.95,7.62,1.9291,0.9291,1.0221
4,5278-1,TECHNIC Chainlinks,1994,453,35,Technic,01.01.1994,01.01.1996,3.51,11.48,3.2707,2.2707,1.0403
5,5118-1,TECHNIC Cables,1995,453,35,Technic,01.01.1991,01.01.1993,5.27,42.47,8.0588,7.0588,1.0746
6,5289-1,Toggle Joints & Connectors,1996,453,64,Technic,01.01.1996,01.01.1998,3.95,6.76,1.7114,0.7114,1.0194
7,5228-1,Small Beams and Plates,1997,453,26,Technic,01.01.1997,01.01.1999,3.95,4.27,1.081,0.081,1.0029
8,5294-1,"Toggle Joints & Connectors / Pegs, Bushings, & Couplers",1998,453,60,Technic,01.01.1998,01.01.2000,3.51,6.64,1.8917,0.8917,1.0248
9,7110-1,Landspeeder,1999,158,49,Star Wars,01.01.1999,01.01.2001,5.27,88.0,16.6983,15.6983,1.1192
10,7131-1,Anakin's Podracer,1999,158,136,Star Wars,01.01.1999,01.01.2001,13.19,88.94,6.743,5.743,1.0793
11,7141-1,Naboo Fighter,1999,158,179,Star Wars,01.01.1999,01.01.2001,17.59,105.6,6.0034,5.0034,1.0743
12,7111-1,Droid Fighter,1999,158,62,Star Wars,01.01.1999,01.01.2001,5.27,43.99,8.3472,7.3472,1.0886
13,7128-1,Speeder Bikes,1999,158,93,Star Wars,01.01.1999,01.01.2001,8.79,67.63,7.694,6.694,1.085
14,7171-1,Mos Espa Podrace,1999,158,907,Star Wars,01.01.1999,01.01.2001,79.19,298.19,3.7655,2.7655,1.0545
15,7130-1,Snowspeeder,1999,158,217,Star Wars,01.01.1999,01.01.2001,17.59,118.1,6.714,5.714,1.0791
16,7151-1,Sith Infiltrator,1999,158,244,Star Wars,01.01.1999,01.01.2001,26.39,125.11,4.7408,3.7408,1.0642
17,7161-1,Gungan Sub,1999,158,379,Star Wars,01.01.1999,01.01.2001,43.99,217.36,4.9411,3.9411,1.066
18,7150-1,TIE Fighter & Y-wing,1999,158,410,Star Wars,01.01.1999,01.01.2001,43.99,217.96,4.9548,3.9548,1.0661
19,7101-1,Lightsaber Duel,1999,158,52,Star Wars,01.01.1999,01.01.2001,5.27,92.4,17.5332,16.5332,1.1214
20,7121-1,Naboo Swamp,1999,158,82,Star Wars,01.01.1999,01.01.2001,8.79,69.19,7.8714,6.8714,1.086
21,7140-1,X-wing Fighter,1999,158,271,Star Wars,01.01.1999,01.01.2001,26.39,241.38,9.1466,8.1466,1.0926
22,7144-1,Slave I,2000,158,166,Star Wars,01.01.2000,01.01.2002,17.59,181.19,10.3007,9.3007,1.1021
23,7134-1,A-wing Fighter,2000,158,125,Star Wars,01.01.2000,01.01.2002,13.19,100.85,7.6459,6.6459,1.0885
24,7159-1,Star Wars Podracing Bucket,2000,158,293,Star Wars,01.01.2000,01.01.2002,21.99,216.31,9.8367,8.8367,1.0999
25,7115-1,Gungan Patrol,2000,158,79,Star Wars,01.01.2000,01.01.2002,8.79,80.34,9.1399,8.1399,1.0966
26,7104-1,Desert Skiff,2000,158,55,Star Wars,01.01.2000,01.01.2002,5.27,66.28,12.5769,11.5769,1.1113
27,7155-1,Trade Federation AAT,2000,158,158,Star Wars,01.01.2000,01.01.2002,17.59,183.87,10.4531,9.4531,1.1027
28,7124-1,Flash Speeder,2000,158,107,Star Wars,01.01.2000,01.01.2002,8.79,78.48,8.9283,7.9283,1.0955
29,3343-1,Star Wars #4 - Battle Droid Minifig Pack,2000,158,33,Star Wars,01.01.2000,01.01.2002,4.39,70.3,16.0137,15.0137,1.1225
30,3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,158,25,Star Wars,01.01.2000,01.01.2002,4.39,70.3,16.0137,15.0137,1.1225
31,7190-1,Millennium Falcon,2000,158,671,Star Wars,01.01.2000,01.01.2002,87.99,546.95,6.216,5.216,1.0791
32,7180-1,B-wing at Rebel Control Center,2000,158,346,Star Wars,01.01.2000,01.01.2002,26.39,159.08,6.028,5.028,1.0777
33,7184-1,Trade Federation MTT,2000,158,466,Star Wars,01.01.2000,01.01.2002,43.99,230.25,5.2341,4.2341,1.0714
34,3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,158,25,Star Wars,01.01.2000,01.01.2002,4.39,165.13,37.615,36.615,1.1632
35,3340-1,Star Wars #1 - Sith Minifig Pack,2000,158,30,Star Wars,01.01.2000,01.01.2002,4.39,156.86,35.7312,34.7312,1.1607
36,7166-1,Imperial Shuttle,2001,158,238,Star Wars,01.01.2001,01.01.2003,34.99,189.41,5.4133,4.4133,1.0762
37,7186-1,Watto's Junkyard,2001,158,449,Star Wars,01.01.2001,01.01.2003,43.99,506.35,11.5106,10.5106,1.1121
38,7146-1,TIE Fighter,2001,158,171,Star Wars,01.01.2001,01.01.2003,17.59,126.09,7.1683,6.1683,1.0894
39,4706-1,Forbidden Corridor,2001,246,228,Harry Potter,01.10.2001,01.10.2003,26.39,110.33,4.1808,3.1808,1.0642
40,4707-1,Hagrid's Hut,2001,246,298,Harry Potter,01.10.2001,01.10.2003,26.39,135.17,5.122,4.122,1.0736
41,4708-1,Hogwarts Express,2001,246,414,Harry Potter,01.10.2001,01.10.2003,43.99,176.0,4.0009,3.0009,1.0621
42,4709-1,Hogwarts Castle,2001,246,696,Harry Potter,01.10.2001,01.10.2003,79.19,355.85,4.4936,3.4936,1.0675
43,4701-1,Sorting Hat,2001,246,50,Harry Potter,01.10.2001,01.10.2003,6.15,69.92,11.3691,10.3691,1.1115
44,4723-1,Diagon Alley Shops,2001,246,85,Harry Potter,01.10.2001,01.10.2003,8.79,123.2,14.0159,13.0159,1.1216
45,4722-1,Gryffindor,2001,246,70,Harry Potter,01.10.2001,01.10.2003,8.79,66.37,7.5506,6.5506,1.0919
46,4721-1,Hogwarts Classroom,2001,246,76,Harry Potter,01.10.2001,01.10.2003,8.79,98.56,11.2127,10.2127,1.1108
47,4702-1,The Final Challenge,2001,246,62,Harry Potter,01.10.2001,01.10.2003,8.79,80.04,9.1058,8.1058,1.1008
48,4704-1,The Chamber of the Winged Keys,2001,246,180,Harry Potter,01.10.2001,01.10.2003,17.59,91.69,5.2126,4.2126,1.0744
49,4705-1,Snape's Class,2001,246,167,Harry Potter,01.10.2001,01.10.2003,17.59,80.9,4.5992,3.5992,1.0686
50,7106-1,Droid Escape,2001,158,45,Star Wars,01.01.2001,01.01.2003,5.27,48.0,9.1082,8.1082,1.1008
51,7126-1,Battle Droid Carrier,2001,158,133,Star Wars,01.01.2001,01.01.2003,8.79,153.78,17.4949,16.4949,1.1325
52,7127-1,Imperial AT-ST,2001,158,107,Star Wars,01.01.2001,01.01.2003,8.79,66.68,7.5859,6.5859,1.0921
53,7142-1,X-wing Fighter,2002,158,273,Star Wars,01.01.2002,01.01.2004,26.39,377.05,14.2876,13.2876,1.1285
54,7152-1,TIE Fighter & Y-wing,2002,158,411,Star Wars,01.01.2002,01.01.2004,43.99,224.58,5.1053,4.1053,1.0769
55,7153-1,Jango Fett's Slave I,2002,158,371,Star Wars,01.04.2002,01.04.2004,43.99,983.0,22.346,21.346,1.1517
56,7163-1,Republic Gunship,2002,158,697,Star Wars,01.04.2002,01.04.2004,79.19,879.92,11.1115,10.1115,1.1157
57,7143-1,Jedi Starfighter,2002,158,139,Star Wars,01.04.2002,01.04.2004,17.59,130.83,7.4377,6.4377,1.0955
58,7113-1,Tusken Raider Encounter,2002,158,93,Star Wars,01.04.2002,01.04.2004,8.79,88.25,10.0398,9.0398,1.1105
59,7119-1,Twin-Pod Cloud Car,2002,158,118,Star Wars,01.01.2002,01.01.2004,8.79,57.25,6.5131,5.5131,1.0889
60,4735-1,Slytherin,2002,246,93,Harry Potter,01.09.2002,01.09.2004,8.79,51.96,5.9113,4.9113,1.0841
61,4733-1,The Dueling Club,2002,246,134,Harry Potter,01.09.2002,01.09.2004,17.59,67.78,3.8533,2.8533,1.0632
62,4731-1,Dobby's Release,2002,246,71,Harry Potter,01.09.2002,01.09.2004,6.15,38.8,6.3089,5.3089,1.0873
63,4730-1,Chamber of Secrets,2002,246,597,Harry Potter,01.09.2002,01.09.2004,61.59,270.37,4.3898,3.3898,1.0696
64,4729-1,Dumbledore's Office,2002,246,451,Harry Potter,01.09.2002,01.09.2004,43.99,167.19,3.8006,2.8006,1.0626
65,4728-1,Escape from Privet Drive,2002,246,282,Harry Potter,01.09.2002,01.09.2004,26.39,132.0,5.0019,4.0019,1.0759
66,7103-1,Jedi Duel,2002,158,82,Star Wars,01.04.2002,01.04.2004,9.99,111.86,11.1972,10.1972,1.1161
67,7139-1,Ewok Attack,2002,158,121,Star Wars,01.01.2002,01.01.2004,11.43,80.52,7.0446,6.0446,1.0928
68,4727-1,Aragog in the Dark Forest,2002,246,183,Harry Potter,01.09.2002,01.09.2004,17.59,50.56,2.8744,1.8744,1.0492
69,4714-1,Gringott's Bank,2002,246,263,Harry Potter,01.01.2002,01.01.2004,26.39,147.83,5.6017,4.6017,1.0815
70,4712-1,Troll on the Loose,2002,246,72,Harry Potter,01.01.2002,01.01.2004,8.79,83.64,9.5154,8.5154,1.1078
71,7204-1,Jedi Defense II,2002,158,53,Star Wars,01.01.2002,01.01.2004,6.15,72.91,11.8553,10.8553,1.119
72,7203-1,Jedi Defense I,2002,158,59,Star Wars,01.01.2002,01.01.2004,6.15,93.53,15.2081,14.2081,1.1317
73,4726-1,Quidditch Practice,2002,246,132,Harry Potter,01.09.2002,01.09.2004,13.19,64.28,4.8734,3.8734,1.0746
74,7200-1,Final Duel I,2002,158,32,Star Wars,01.01.2002,01.01.2004,6.15,86.61,14.0829,13.0829,1.1278
75,7201-1,Final Duel II,2002,158,26,Star Wars,01.01.2002,01.01.2004,6.15,48.96,7.961,6.961,1.0989
76,7133-1,Bounty Hunter Pursuit,2002,158,254,Star Wars,01.04.2002,01.04.2004,26.39,378.4,14.3388,13.3388,1.1287
77,4483-1,AT-AT [Black Box],2003,158,1070,Star Wars,01.01.2003,01.01.2005,87.99,331.41,3.7665,2.7665,1.0652
78,4279-1,CREATOR Strata Red {Red Tub},2003,22,1002,Creator,01.01.2003,01.01.2005,26.39,68.53,2.5968,1.5968,1.0465
79,4491-1,MTT,2003,158,99,Star Wars,01.01.2003,01.01.2005,6.15,19.7,3.2033,2.2033,1.057
80,4278-1,Blue Tub,2003,22,1000,Creator,01.01.2003,01.01.2005,26.39,70.88,2.6859,1.6859,1.0482
81,4481-1,Hailfire Droid,2003,158,680,Star Wars,01.01.2003,01.01.2005,43.99,234.3,5.3262,4.3262,1.0829
82,4480-1,Jabba's Palace,2003,158,234,Star Wars,01.01.2003,01.01.2005,26.39,351.71,13.3274,12.3274,1.1313
83,4478-1,Geonosian Fighter (Black Box),2003,158,170,Star Wars,01.01.2003,01.01.2005,17.59,188.66,10.7254,9.7254,1.1196
84,4484-1,X-wing Fighter & TIE Advanced,2003,158,76,Star Wars,01.01.2003,01.01.2005,3.51,24.73,7.0456,6.0456,1.0974
85,4485-1,Sebulba's Podracer & Anakin's Podracer,2003,158,72,Star Wars,01.01.2003,01.01.2005,3.51,13.38,3.812,2.812,1.0658
86,4486-1,AT-ST & Snowspeeder - Mini,2003,158,76,Star Wars,01.01.2003,01.01.2005,3.51,20.49,5.8376,4.8376,1.0876
87,4479-1,TIE Bomber,2003,158,229,Star Wars,01.01.2003,01.01.2005,26.39,193.16,7.3194,6.3194,1.0994
88,4490-1,Republic Gunship,2003,158,102,Star Wars,01.06.2003,01.06.2005,6.15,28.54,4.6407,3.6407,1.0758
89,4475-1,Jabba's Message,2003,158,46,Star Wars,01.01.2003,01.01.2005,6.15,74.11,12.0504,11.0504,1.1258
90,4476-1,Jabba's Prize,2003,158,40,Star Wars,01.01.2003,01.01.2005,6.15,139.42,22.6699,21.6699,1.1602
91,4487-1,Jedi Starfighter & Slave I,2003,158,53,Star Wars,01.01.2003,01.01.2005,3.51,29.07,8.2821,7.2821,1.1059
92,4489-1,AT-AT - Mini,2003,158,98,Star Wars,01.01.2003,01.01.2005,6.15,37.53,6.1024,5.1024,1.0899
93,4488-1,Millennium Falcon,2003,158,87,Star Wars,01.01.2003,01.01.2005,6.15,50.55,8.2195,7.2195,1.1055
94,4477-1,T-16 Skyhopper,2003,158,98,Star Wars,01.01.2003,01.01.2005,13.19,84.53,6.4086,5.4086,1.0925
95,4502-1,X-wing Fighter,2003,158,564,Star Wars,01.01.2004,01.01.2006,43.99,345.5,7.8541,6.8541,1.1031
96,4405-1,Large Creator Bucket,2003,22,1305,Creator,01.01.2003,01.01.2005,26.39,67.4,2.554,1.554,1.0457
97,4482-1,AT-TE,2003,158,663,Star Wars,01.01.2003,01.01.2005,61.59,473.02,7.6801,6.6801,1.1019
98,4719-1,Quality Quidditch Supplies,2003,246,121,Harry Potter,01.01.2003,01.01.2005,8.79,57.65,6.5586,5.5586,1.0937
99,4720-1,Knockturn Alley,2003,246,211,Harry Potter,01.01.2003,01.01.2005,17.59,159.63,9.075,8.075,1.1107
100,4400-1,Creations and Bricks {Red Tub},2003,22,705,Creator,01.01.2003,01.01.2005,17.59,55.99,3.1831,2.1831,1.0567
101,4023-1,Fun and Adventure,2003,22,55,Creator,01.01.2003,01.01.2005,3.51,8.4,2.3932,1.3932,1.0424
102,4026-1,Create Your Dreams,2003,22,100,Creator,01.01.2003,01.01.2005,3.07,11.59,3.7752,2.7752,1.0653
103,4027-1,Build and Imagine,2003,22,100,Creator,01.01.2003,01.01.2005,3.07,7.91,2.5765,1.5765,1.0461
104,4028-1,World of Bricks {Blue Bucket},2003,22,500,Creator,01.01.2003,01.01.2005,8.79,42.51,4.8362,3.8362,1.0779
