set_num,quantity
5110-2,1
5233-2,1
5275-1,1
5286-1,1
5278-1,1
5118-1,1
5289-1,1
5228-1,1
5294-1,1
7110-1,1
7131-1,1
7141-1,1
7111-1,1
7128-1,1
7171-1,1
7130-1,1
7151-1,1
7161-1,1
7150-1,1
7101-1,1
7121-1,1
7140-1,1
7144-1,1
7134-1,1
7159-1,1
7115-1,1
7104-1,1
7155-1,1
7124-1,1
3343-1,1
3342-1,1
7190-1,1
7180-1,1
7184-1,1
3341-1,1
3340-1,1
7166-1,1
7186-1,1
7146-1,1
4706-1,1
4707-1,1
4708-1,1
4709-1,1
4701-1,1
4723-1,1
4722-1,1
4721-1,1
4702-1,1
4704-1,1
4705-1,1
7106-1,1
7126-1,1
7127-1,1
7142-1,1
7152-1,1
7153-1,1
7163-1,1
7143-1,1
7113-1,1
7119-1,1
4735-1,1
4733-1,1
4731-1,1
4730-1,1
4729-1,1
4728-1,1
7103-1,1
7139-1,1
4727-1,1
4714-1,1
4712-1,1
7204-1,1
7203-1,1
4726-1,1
7200-1,1
7201-1,1
TRU01-1,1
7133-1,1
4483-1,1
4279-1,1
4491-1,1
4278-1,1
4481-1,1
4480-1,1
4478-1,1
4484-1,1
4485-1,1
4486-1,1
4479-1,1
4490-1,1
4475-1,1
4476-1,1
4487-1,1
4489-1,1
4488-1,1
4477-1,1
4502-1,1
4405-1,1
4482-1,1
4719-1,1
4720-1,1
4400-1,1
4023-1,1
4026-1,1
4027-1,1
4028-1,1
4029-1,1
4014-1,1
4501-1,1
4501-2,1
4497-1,1
4493-1,1
4495-1,1
4494-1,1
4500-2,1
4500-1,1
4757-1,1
4538-1,1
6963-1,1
10132-1,1
4562-1,1
4504-2,1
4504-1,1
4502-2,1
4518-1,1
4750-1,1
6965-1,1
6964-2,1
4753-1,1
4754-1,1
4755-1,1
4758-1,1
4752-1,1
4751-1,1
4492-1,1
4478-2,1
4756-1,1
4483-2,1
6963-2,1
4696-1,1
4425-1,1
4695-1,1
4414-1,1
4411-1,1
4410-1,1
4408-1,1
4407-1,1
4406-1,1
4412-1,1
6964-1,1
7262-1,1
4766-1,1
4767-1,1
4768-1,1
4768-2,1
4762-1,1
7257-1,1
4782-2,1
4780-1,1
4781-1,1
7870-1,1
4782-1,1
4423-1,1
4421-1,1
6965-2,1
6966-1,1
6966-2,1
6967-1,1
6967-2,1
6968-1,1
4496-2,1
7263-1,1
7264-1,1
4919-1,1
SWMP-1,1
5369-1,1
tf05-1,1
3598-1,1
7283-1,1
7244-1,1
7256-1,1
7258-1,1
7259-1,1
7260-1,1
7261-1,1
7255-1,1
7252-1,1
7251-1,1
7250-1,1
