,number,name,theme,year,pieces,minifigs,availability,retired,released_date,retired_date,retail,value
0,75144-1,Snowspeeder,Star Wars,2017,1703,2,Exclusive,True,2017-05-05 00:00:00,2019-01-15 00:00:00,199.99,330.4
1,10251-1,Brick Bank,Icons,2016,2380,6,RetailLimited,True,2016-02-01 00:00:00,2018-11-14 00:00:00,149.99,494.81
2,10252-1,Volkswagen Beetle,Icons,2016,1167,0,Exclusive,True,2016-01-08 00:00:00,2020-03-12 00:00:00,89.99,113.14
3,10253-1,Big Ben,Icons,2016,4163,0,Exclusive,True,2016-02-07 00:00:00,2018-11-25 00:00:00,219.99,327.12
4,10702-1,Creative Building Set,Classic,2016,583,0,Retail,True,2016-02-01 00:00:00,2017-11-24 00:00:00,24.99,30.14
5,10720-1,Police Helicopter Chase,Juniors,2016,63,2,Retail,True,2016-01-03 00:00:00,2017-11-19 00:00:00,9.99,18.58
6,10721-1,Iron Man vs. Loki,Juniors,2016,66,2,Retail,True,2016-01-03 00:00:00,2016-11-26 00:00:00,12.99,42.69
7,10722-1,Snake Showdown,Juniors,2016,92,2,Retail,True,2016-01-03 00:00:00,2017-12-16 00:00:00,14.99,22.0
8,10723-1,Ariel's Dolphin Carriage,Juniors,2016,70,1,Retail,True,2016-01-03 00:00:00,2017-03-07 00:00:00,14.99,21.65
9,10724-1,Batman & Superman vs. Lex Luthor,Juniors,2016,164,3,Retail,True,2016-05-22 00:00:00,2017-11-26 00:00:00,24.99,35.2
10,10725-1,Lost Temple,Juniors,2016,172,3,Retail,True,2016-01-03 00:00:00,2017-11-12 00:00:00,34.99,34.59
11,10726-1,Stephanie's Horse Carriage,Juniors,2016,58,1,Retail,True,2016-05-22 00:00:00,2017-11-28 00:00:00,9.99,17.59
12,10727-1,Emma's Ice Cream Truck,Juniors,2016,136,2,Retail,True,2016-05-22 00:00:00,2017-11-21 00:00:00,19.99,47.13
13,10728-1,Mia's Vet Clinic,Juniors,2016,173,2,Retail,True,2016-05-22 00:00:00,2017-04-12 00:00:00,29.99,39.98
14,10729-1,Cinderella's Carriage,Juniors,2016,116,2,Retail,True,2016-01-03 00:00:00,2017-11-29 00:00:00,24.99,32.71
15,10801-1,Baby Animals,Duplo,2016,13,0,Retail,True,2016-02-01 00:00:00,2017-12-14 00:00:00,9.99,40.25
16,10802-1,Savanna,Duplo,2016,18,1,Retail,True,2016-02-01 00:00:00,2017-11-02 00:00:00,19.99,40.73
17,10803-1,Arctic,Duplo,2016,40,2,Retail,True,2016-02-01 00:00:00,2017-11-18 00:00:00,29.99,84.71
18,10804-1,Jungle,Duplo,2016,86,2,Retail,True,2016-02-01 00:00:00,2017-12-15 00:00:00,59.99,84.36
19,10805-1,Around the World,Duplo,2016,163,5,Retail,True,2016-02-01 00:00:00,2018-10-12 00:00:00,99.99,193.56
20,10806-1,Horses,Duplo,2016,20,1,Retail,True,2016-02-01 00:00:00,2016-11-21 00:00:00,14.99,44.7
21,10807-1,Horse Trailer,Duplo,2016,15,2,Retail,True,2016-02-01 00:00:00,2016-11-26 00:00:00,19.99,60.73
22,10808-1,Little Plane,Duplo,2016,13,1,Retail,True,2016-02-01 00:00:00,2017-11-28 00:00:00,9.99,25.11
23,10809-1,Police Patrol,Duplo,2016,15,2,Retail,True,2016-02-01 00:00:00,2018-12-13 00:00:00,14.99,70.39
24,10810-1,Push Train,Duplo,2016,45,2,Retail,True,2016-05-22 00:00:00,2017-11-28 00:00:00,29.99,95.81
25,10811-1,Backhoe Loader,Duplo,2016,19,1,Retail,True,2016-08-06 00:00:00,2017-11-19 00:00:00,14.99,70.53
26,10812-1,Truck & Tracked Excavator,Duplo,2016,28,2,Retail,True,2016-05-22 00:00:00,2020-07-21 00:00:00,19.49,29.12
27,10813-1,Big Construction Site,Duplo,2016,67,3,Retail,True,2016-05-22 00:00:00,2019-03-12 00:00:00,49.99,131.99
28,10814-1,Tow Truck,Duplo,2016,28,2,Retail,True,2016-02-01 00:00:00,2016-12-13 00:00:00,19.99,27.12
29,10815-1,My First Rocket,Duplo,2016,18,0,Retail,True,2016-02-01 00:00:00,2017-08-08 00:00:00,9.99,22.45
30,10816-1,My First Cars and Trucks,Duplo,2016,36,0,Retail,True,2016-02-01 00:00:00,2018-11-20 00:00:00,19.99,86.98
31,10817-1,Creative Chest,Duplo,2016,70,0,Retail,True,2016-02-01 00:00:00,2017-07-11 00:00:00,24.99,28.55
32,10818-1,My First Truck,Duplo,2016,29,2,Retail,True,2016-02-01 00:00:00,2017-01-12 00:00:00,19.99,76.45
33,10819-1,My First Garden,Duplo,2016,25,2,Retail,True,2016-02-01 00:00:00,2016-11-30 00:00:00,19.99,26.03
34,10822-1,Sofia the First Magical Carriage,Duplo,2016,30,1,Retail,True,2016-05-22 00:00:00,2018-01-16 00:00:00,29.99,79.16
35,10824-1,Miles' Space Adventures,Duplo,2016,23,1,Retail,True,2016-02-01 00:00:00,2017-05-19 00:00:00,19.99,21.34
36,10825-1,Miles' Exo-Flex Suit,Duplo,2016,37,1,Retail,True,2016-01-08 00:00:00,2017-07-03 00:00:00,21.99,57.49
37,10826-1,Miles' Stellosphere Hangar,Duplo,2016,44,1,Retail,True,2016-02-01 00:00:00,2017-04-20 00:00:00,34.99,46.71
38,10827-1,Mickey & Friends Beach House,Duplo,2016,48,3,Retail,True,2016-05-22 00:00:00,2018-05-08 00:00:00,34.99,96.83
39,10828-1,Doc McStuffins' Pet Vet Care,Duplo,2016,30,1,Retail,True,2016-05-22 00:00:00,2017-09-12 00:00:00,24.99,46.13
40,10829-1,Mickey's Workshop,Duplo,2016,18,1,Retail,True,2016-02-01 00:00:00,2016-02-12 00:00:00,19.99,30.18
41,10830-1,Minnie's Cafe,Duplo,2016,27,1,Retail,True,2016-02-01 00:00:00,2017-07-12 00:00:00,19.99,57.74
42,10831-1,My First Caterpillar,Duplo,2016,19,0,Retail,True,2016-02-01 00:00:00,2018-10-03 00:00:00,9.99,13.48
43,21026-1,Venice,Architecture,2016,212,0,RetailLimited,True,2016-02-01 00:00:00,2017-11-25 00:00:00,29.99,200.88
44,21027-1,Berlin,Architecture,2016,289,0,RetailLimited,True,2016-02-01 00:00:00,2017-11-19 00:00:00,29.99,213.25
45,21028-1,New York City,Architecture,2016,598,0,RetailLimited,False,2016-02-01 00:00:00,2025-06-30 00:00:00,49.99,52.79
46,21029-1,Buckingham Palace,Architecture,2016,780,0,RetailLimited,True,2016-09-17 00:00:00,2018-11-24 00:00:00,49.99,104.72
47,21030-1,United States Capitol Building,Architecture,2016,1032,0,RetailLimited,True,2016-09-17 00:00:00,2019-11-29 00:00:00,99.99,128.23
48,21031-1,Burj Khalifa,Architecture,2016,333,0,RetailLimited,True,2016-02-01 00:00:00,2017-12-18 00:00:00,39.99,90.86
49,21123-1,The Iron Golem,Minecraft,2016,208,2,Retail,True,2016-01-03 00:00:00,2018-03-12 00:00:00,19.99,35.16
50,21124-1,The End Portal,Minecraft,2016,559,3,Retail,True,2016-01-03 00:00:00,2017-01-12 00:00:00,59.99,182.46
51,21125-1,The Jungle Tree House,Minecraft,2016,706,4,Retail,True,2016-01-03 00:00:00,2017-11-16 00:00:00,89.99,170.95
52,21126-1,The Wither,Minecraft,2016,318,3,Retail,True,2016-01-03 00:00:00,2017-11-19 00:00:00,34.99,178.43
53,21127-1,The Fortress,Minecraft,2016,984,0,Retail,True,2016-09-17 00:00:00,2017-05-12 00:00:00,109.99,256.02
54,21128-1,The Village,Minecraft,2016,1600,9,Exclusive,True,2016-01-06 00:00:00,2017-12-16 00:00:00,199.99,589.45
55,21305-1,Maze,Ideas,2016,769,0,RetailLimited,True,2016-02-04 00:00:00,2016-11-25 00:00:00,69.99,155.95
56,30278-1,Poe's X-wing Fighter,Star Wars,2016,64,0,RetailLimited,True,2016-01-25 00:00:00,2017-04-29 00:00:00,3.99,5.64
57,30279-1,Kylo Ren's Command Shuttle,Star Wars,2016,43,0,Promotional,True,2016-07-15 00:00:00,2016-01-10 00:00:00,0.0,4.71
58,30321-1,Duck,Duplo,2016,4,0,Promotional,True,2016-01-03 00:00:00,2018-01-03 00:00:00,0.0,3.9
59,30346-1,Prison Island Helicopter,City,2016,46,1,Promotional,True,2016-08-10 00:00:00,2018-08-10 00:00:00,3.51,4.45
60,30347-1,Fire Car,City,2016,53,1,RetailLimited,True,2016-01-02 00:00:00,2016-01-03 00:00:00,3.51,4.44
61,30348-1,Mini Dumper,City,2016,45,1,RetailLimited,True,2016-06-05 00:00:00,2016-01-07 00:00:00,4.99,5.55
62,30349-1,Sports Car,City,2016,47,1,RetailLimited,True,2016-01-25 00:00:00,2016-02-28 00:00:00,3.51,4.4
63,30371-1,Knight's Cycle,Nexo Knights,2016,38,1,Promotional,True,2016-11-07 00:00:00,2018-11-07 00:00:00,3.51,3.85
