Number,Name,Theme,Subtheme,Year,Pieces,Minifigs,Availability,Retired,ReleasedDate,RetiredDate,Retail,Paid,Value,Growth,Condition,Date,Notes,Collection,Status,URL
75144-1,Snowspeeder,Star Wars,Ultimate Collector Series,2017,1703,2,Exclusive,True,05/05/2017,15/01/2019,"199;99 €","199;99 €","330;40 €",65.21,New,,,Default,Owned,https://www.brickeconomy.com/set/75144-1/lego-star-wars-snowspeeder
10251-1,Brick Bank,Icons,Modular Buildings,2016,2380,6,RetailLimited,True,02/01/2016,14/11/2018,"149;99 €","149;99 €","494;81 €",229.89,New,,,Default,Owned,https://www.brickeconomy.com/set/10251-1/lego-brick-bank
10252-1,Volkswagen Beetle,Icons,Vehicles,2016,1167,0,Exclusive,True,01/08/2016,03/12/2020,"89;99 €","89;99 €","113;14 €",25.73,New,,,Default,Owned,https://www.brickeconomy.com/set/10252-1/lego-volkswagen-beetle
10253-1,Big Ben,Icons,Buildings,2016,4163,0,Exclusive,True,02/07/2016,25/11/2018,"219;99 €","219;99 €","327;12 €",48.70,New,,,Default,Owned,https://www.brickeconomy.com/set/10253-1/lego-big-ben
10702-1,Creative Building Set,Classic,,2016,583,0,Retail,True,02/01/2016,24/11/2017,"24;99 €","24;99 €","30;14 €",20.61,New,,,Default,Owned,https://www.brickeconomy.com/set/10702-1/lego-creative-building-set
10720-1,Police Helicopter Chase,Juniors,City,2016,63,2,Retail,True,01/03/2016,19/11/2017,"9;99 €","9;99 €","18;58 €",85.95,New,,,Default,Owned,https://www.brickeconomy.com/set/10720-1/lego-juniors-city-police-helicopter-chase
10721-1,Iron Man vs. Loki,Juniors,Super Heroes,2016,66,2,Retail,True,01/03/2016,26/11/2016,"12;99 €","12;99 €","42;69 €",228.63,New,,,Default,Owned,https://www.brickeconomy.com/set/10721-1/lego-juniors-super-heroes-iron-man-vs-loki
10722-1,Snake Showdown,Juniors,Ninjago,2016,92,2,Retail,True,01/03/2016,16/12/2017,"14;99 €","14;99 €","22;00 €",46.76,New,,,Default,Owned,https://www.brickeconomy.com/set/10722-1/lego-juniors-ninjago-snake-showdown
10723-1,"Ariel's Dolphin Carriage",Juniors,Disney Princess,2016,70,1,Retail,True,01/03/2016,03/07/2017,"14;99 €","14;99 €","21;65 €",44.42,New,,,Default,Owned,https://www.brickeconomy.com/set/10723-1/lego-juniors-disney-princess-ariels-dolphin-carriage
10724-1,Batman & Superman vs. Lex Luthor,Juniors,Super Heroes,2016,164,3,Retail,True,22/05/2016,26/11/2017,"24;99 €","24;99 €","35;20 €",40.86,New,,,Default,Owned,https://www.brickeconomy.com/set/10724-1/lego-juniors-super-heroes-batman-superman-vs-lex-luthor
10725-1,Lost Temple,Juniors,Ninjago,2016,172,3,Retail,True,01/03/2016,11/12/2017,"34;99 €","34;99 €","34;59 €",-1.14,New,,,Default,Owned,https://www.brickeconomy.com/set/10725-1/lego-juniors-ninjago-lost-temple
10726-1,"Stephanie's Horse Carriage",Juniors,Friends,2016,58,1,Retail,True,22/05/2016,28/11/2017,"9;99 €","9;99 €","17;59 €",76.09,New,,,Default,Owned,https://www.brickeconomy.com/set/10726-1/lego-juniors-friends-stephanies-horse-carriage
10727-1,"Emma's Ice Cream Truck",Juniors,Friends,2016,136,2,Retail,True,22/05/2016,21/11/2017,"19;99 €","19;99 €","47;13 €",135.78,New,,,Default,Owned,https://www.brickeconomy.com/set/10727-1/lego-juniors-friends-emmas-ice-cream-truck
10728-1,"Mia's Vet Clinic",Juniors,Friends,2016,173,2,Retail,True,22/05/2016,04/12/2017,"29;99 €","29;99 €","39;98 €",33.31,New,,,Default,Owned,https://www.brickeconomy.com/set/10728-1/lego-juniors-friends-mias-vet-clinic
10729-1,"Cinderella's Carriage",Juniors,Disney Princess,2016,116,2,Retail,True,01/03/2016,29/11/2017,"24;99 €","24;99 €","32;71 €",30.89,New,,,Default,Owned,https://www.brickeconomy.com/set/10729-1/lego-juniors-disney-princess-cinderellas-carriage
10801-1,Baby Animals,Duplo,,2016,13,0,Retail,True,02/01/2016,14/12/2017,"9;99 €","9;99 €","40;25 €",302.91,New,,,Default,Owned,https://www.brickeconomy.com/set/10801-1/lego-duplo-baby-animals
