Date,Open,High,Low,Close
1990-01-31,406,427.5,394.5,417.8
1990-02-28,418.8,430.3,407.5,408.9
1990-03-31,409.05,410.4,362.5,375
1990-04-30,375.5,385.55,367.7,371.4
1990-05-31,371.75,377.6,361,368.6
1990-06-30,368.95,368.95,348.2,359.9
1990-07-31,360.05,382.2,352,379.2
1990-08-31,379.9,425,379.2,389.2
1990-09-30,390.15,414.4,381.6,408.1
1990-10-31,408.8,408.8,361.5,381.3
1990-11-30,381.75,393.3,376,385.7
1990-12-31,386,397.1,369.1,396.2
1991-01-31,397,406.9,367.8,368.5
1991-02-28,368.9,373.7,357,369
1991-03-31,369.8,372.8,356.6,359.4
1991-04-30,360.1,368.2,352.6,357.7
1991-05-31,358.6,367.7,354.6,364.8
1991-06-30,364.95,377.9,361.5,370
1991-07-31,370.75,373.3,363.6,370.8
1991-08-31,371,371,350,352.9
1991-09-30,353.75,359.5,346,357.3
1991-10-31,357.35,367.4,356.7,359.5
1991-11-30,359.95,372,353.6,371.1
1991-12-31,371.25,374.9,352.3,355.2
1992-01-31,355.7,361.5,348.5,358.9
1992-02-29,359.4,360.5,349.4,354.1
1992-03-31,354.3,354.3,336.3,345.5
1992-04-30,346.45,346.9,334.9,337.9
1992-05-31,338.5,341.7,335.1,338.4
1992-06-30,338.65,346.9,338.2,344.4
1992-07-31,344.7,363.9,344.3,361.4
1992-08-31,361.75,361.75,335,345.3
1992-09-30,345.9,354.5,340.3,349.4
1992-10-31,349.9,353.4,336.9,340.1
1992-11-30,340.85,340.85,328.9,335.5
1992-12-31,336.25,340.1,332,333.1
1993-01-31,333.5,333.5,326.3,330.7
1993-02-28,330.95,334.6,327.8,329.1
1993-03-31,329.45,341.7,325.8,339.3
1993-04-30,340,358.5,336,357.2
1993-05-31,357.5,386.5,354.3,380.3
1993-06-30,380.75,381,361.7,379.2
1993-07-31,379.65,411.7,378.1,411.3
1993-08-31,411.5,414,367,375.7
1993-09-30,376.7,376.7,343,357.1
1993-10-31,357.9,376.7,350,369.6
1993-11-30,369.85,381.2,360.7,371.9
1993-12-31,372.75,393.92,370.4,390.5
1994-01-31,390.55,396.55,375,382
1994-02-28,381.55,390,373.76,381.25
1994-03-31,381.3,393.2,373.1,391.6
1994-04-30,391.75,393,368.2,376.7
1994-05-31,376.6,389.6,372,386.6
