,set_num,name_sets,year,theme_id,num_parts,name_themes,Released_date,Retired_date,Retail,Value,HPR,APR
0,5110-2,"Cross Axles, Nuts",1990,453,26,Technic,01.01.1996,01.01.1998,9.46,14.95,0.5803382663847778,0.013550961308261167
1,5233-2,Small Beams and Plates with holes,1993,453,26,Technic,01.01.1980,01.01.1982,3.07,14.04,3.57328990228013,0.05026211771586042
2,5275-1,Toggle Joints and Connectors,1993,453,48,Technic,01.01.1993,01.01.1995,2.86,4.35,0.5209790209790209,0.01361946684904658
3,5286-1,Toggle Joints & Connectors,1994,453,64,Technic,01.01.1994,01.01.1996,3.95,7.62,0.9291139240506329,0.02214363643142714
4,5278-1,TECHNIC Chainlinks,1994,453,35,Technic,01.01.1994,01.01.1996,3.51,11.48,2.270655270655271,0.040290164376607374
5,5118-1,TECHNIC Cables,1995,453,35,Technic,01.01.1991,01.01.1993,5.27,42.47,7.058823529411765,0.07460967521232464
6,5289-1,Toggle Joints & Connectors,1996,453,64,Technic,01.01.1996,01.01.1998,3.95,6.76,0.711392405063291,0.0193748495742605
7,5228-1,Small Beams and Plates,1997,453,26,Technic,01.01.1997,01.01.1999,3.95,4.27,0.08101265822784795,0.002889286273496383
8,5294-1,"Toggle Joints & Connectors / Pegs, Bushings, & Couplers",1998,453,60,Technic,01.01.1998,01.01.2000,3.51,6.64,0.8917378917378918,0.02482213845749226
9,7110-1,Landspeeder,1999,158,49,Star Wars,01.01.1999,01.01.2001,5.27,88.0,15.698292220113855,0.11919788886383142
10,7131-1,Anakin's Podracer,1999,158,136,Star Wars,01.01.1999,01.01.2001,13.19,88.94,5.742987111448067,0.0793296141155202
11,7141-1,Naboo Fighter,1999,158,179,Star Wars,01.01.1999,01.01.2001,17.59,105.6,5.003411028993746,0.07432559637319769
12,7111-1,Droid Fighter,1999,158,62,Star Wars,01.01.1999,01.01.2001,5.27,43.99,7.347248576850095,0.08858346635372727
13,7128-1,Speeder Bikes,1999,158,93,Star Wars,01.01.1999,01.01.2001,8.79,67.63,6.693970420932878,0.08504067893498735
14,7171-1,Mos Espa Podrace,1999,158,907,Star Wars,01.01.1999,01.01.2001,79.19,298.19,2.765500694532138,0.05446679708424673
15,7130-1,Snowspeeder,1999,158,217,Star Wars,01.01.1999,01.01.2001,17.59,118.1,5.714042069357589,0.07914390536144467
16,7151-1,Sith Infiltrator,1999,158,244,Star Wars,01.01.1999,01.01.2001,26.39,125.11,3.7408109132247063,0.0642265891695506
17,7161-1,Gungan Sub,1999,158,379,Star Wars,01.01.1999,01.01.2001,43.99,217.36,3.941122982496022,0.06598974453945616
18,7150-1,TIE Fighter & Y-wing,1999,158,410,Star Wars,01.01.1999,01.01.2001,43.99,217.96,3.9547624460104567,0.06610729108270208
19,7101-1,Lightsaber Duel,1999,158,52,Star Wars,01.01.1999,01.01.2001,5.27,92.4,16.533206831119546,0.1213842555831377
20,7121-1,Naboo Swamp,1999,158,82,Star Wars,01.01.1999,01.01.2001,8.79,69.19,6.871444823663254,0.08603089036354761
21,7140-1,X-wing Fighter,1999,158,271,Star Wars,01.01.1999,01.01.2001,26.39,241.38,8.146646456991284,0.09257302972859427
22,7144-1,Slave I,2000,158,166,Star Wars,01.01.2000,01.01.2002,17.59,181.19,9.300739056281978,0.1020539344928666
23,7134-1,A-wing Fighter,2000,158,125,Star Wars,01.01.2000,01.01.2002,13.19,100.85,6.645943896891585,0.08845287155782056
24,7159-1,Star Wars Podracing Bucket,2000,158,293,Star Wars,01.01.2000,01.01.2002,21.99,216.31,8.83674397453388,0.09993952201741019
25,7115-1,Gungan Patrol,2000,158,79,Star Wars,01.01.2000,01.01.2002,8.79,80.34,8.139931740614337,0.09657739663520837
26,7104-1,Desert Skiff,2000,158,55,Star Wars,01.01.2000,01.01.2002,5.27,66.28,11.576850094876662,0.11125952167999875
27,7155-1,Trade Federation AAT,2000,158,158,Star Wars,01.01.2000,01.01.2002,17.59,183.87,9.453098351335987,0.10272835816221004
28,7124-1,Flash Speeder,2000,158,107,Star Wars,01.01.2000,01.01.2002,8.79,78.48,7.928327645051195,0.0955076677179354
29,3343-1,Star Wars #4 - Battle Droid Minifig Pack,2000,158,33,Star Wars,01.01.2000,01.01.2002,4.39,70.3,15.01366742596811,0.12250198292171444
30,3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,158,25,Star Wars,01.01.2000,01.01.2002,4.39,70.3,15.01366742596811,0.12250198292171444
31,7190-1,Millennium Falcon,2000,158,671,Star Wars,01.01.2000,01.01.2002,87.99,546.95,5.216047278099785,0.07910348772909592
32,7180-1,B-wing at Rebel Control Center,2000,158,346,Star Wars,01.01.2000,01.01.2002,26.39,159.08,5.0280409245926485,0.07772347143578417
33,7184-1,Trade Federation MTT,2000,158,466,Star Wars,01.01.2000,01.01.2002,43.99,230.25,4.234144123664469,0.07140064429646897
34,3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,158,25,Star Wars,01.01.2000,01.01.2002,4.39,165.13,36.615034168564925,0.16316161252562678
35,3340-1,Star Wars #1 - Sith Minifig Pack,2000,158,30,Star Wars,01.01.2000,01.01.2002,4.39,156.86,34.731207289293856,0.16067417216263902
36,7166-1,Imperial Shuttle,2001,158,238,Star Wars,01.01.2001,01.01.2003,34.99,189.41,4.4132609316947695,0.07619140707356742
37,7186-1,Watto's Junkyard,2001,158,449,Star Wars,01.01.2001,01.01.2003,43.99,506.35,10.510570584223688,0.11207645457970772
38,7146-1,TIE Fighter,2001,158,171,Star Wars,01.01.2001,01.01.2003,17.59,126.09,6.168277430358158,0.08941148146899058
39,4706-1,Forbidden Corridor,2001,246,228,Harry Potter,01.10.2001,01.10.2003,26.39,110.33,3.18075028419856,0.0641701024665624
40,4707-1,Hagrid's Hut,2001,246,298,Harry Potter,01.10.2001,01.10.2003,26.39,135.17,4.122015915119363,0.07360680984628165
41,4708-1,Hogwarts Express,2001,246,414,Harry Potter,01.10.2001,01.10.2003,43.99,176.0,3.000909297567629,0.06213767343522347
42,4709-1,Hogwarts Castle,2001,246,696,Harry Potter,01.10.2001,01.10.2003,79.19,355.85,3.493622932188408,0.06751445983787474
43,4701-1,Sorting Hat,2001,246,50,Harry Potter,01.10.2001,01.10.2003,6.15,69.92,10.36910569105691,0.11147869795966048
44,4723-1,Diagon Alley Shops,2001,246,85,Harry Potter,01.10.2001,01.10.2003,8.79,123.2,13.015927189988624,0.12163905584257417
45,4722-1,Gryffindor,2001,246,70,Harry Potter,01.10.2001,01.10.2003,8.79,66.37,6.550625711035269,0.09187562624359136
46,4721-1,Hogwarts Classroom,2001,246,76,Harry Potter,01.10.2001,01.10.2003,8.79,98.56,10.212741751990901,0.11080965094888762
47,4702-1,The Final Challenge,2001,246,62,Harry Potter,01.10.2001,01.10.2003,8.79,80.04,8.105802047781571,0.10080270268215452
48,4704-1,The Chamber of the Winged Keys,2001,246,180,Harry Potter,01.10.2001,01.10.2003,17.59,91.69,4.212620807276862,0.07442561493998512
49,4705-1,Snape's Class,2001,246,167,Harry Potter,01.10.2001,01.10.2003,17.59,80.9,3.5992040932347926,0.06859291533834933
50,7106-1,Droid Escape,2001,158,45,Star Wars,01.01.2001,01.01.2003,5.27,48.0,8.108159392789375,0.10081509158446256
51,7126-1,Battle Droid Carrier,2001,158,133,Star Wars,01.01.2001,01.01.2003,8.79,153.78,16.494880546075088,0.13250364346914134
52,7127-1,Imperial AT-ST,2001,158,107,Star Wars,01.01.2001,01.01.2003,8.79,66.68,6.585893060295792,0.09209686791344529
53,7142-1,X-wing Fighter,2002,158,273,Star Wars,01.01.2002,01.01.2004,26.39,377.05,13.287608942781358,0.12849116049788756
54,7152-1,TIE Fighter & Y-wing,2002,158,411,Star Wars,01.01.2002,01.01.2004,43.99,224.58,4.105251193453057,0.0769179012628789
55,7153-1,Jango Fett's Slave I,2002,158,371,Star Wars,01.04.2002,01.04.2004,43.99,983.0,21.345987724482836,0.15166787469512122
56,7163-1,Republic Gunship,2002,158,697,Star Wars,01.04.2002,01.04.2004,79.19,879.92,10.111503977774973,0.11566839228397496
57,7143-1,Jedi Starfighter,2002,158,139,Star Wars,01.04.2002,01.04.2004,17.59,130.83,6.4377487208641275,0.09549645708895893
58,7113-1,Tusken Raider Encounter,2002,158,93,Star Wars,01.04.2002,01.04.2004,8.79,88.25,9.03981797497156,0.11053689790247989
59,7119-1,Twin-Pod Cloud Car,2002,158,118,Star Wars,01.01.2002,01.01.2004,8.79,57.25,5.513083048919227,0.08890577408573974
60,4735-1,Slytherin,2002,246,93,Harry Potter,01.09.2002,01.09.2004,8.79,51.96,4.911262798634813,0.08411755206764937
61,4733-1,The Dueling Club,2002,246,134,Harry Potter,01.09.2002,01.09.2004,17.59,67.78,2.8533257532689027,0.06323409941301184
62,4731-1,Dobby's Release,2002,246,71,Harry Potter,01.09.2002,01.09.2004,6.15,38.8,5.308943089430894,0.08733073476472297
63,4730-1,Chamber of Secrets,2002,246,597,Harry Potter,01.09.2002,01.09.2004,61.59,270.37,3.389836012339665,0.06955271703597754
64,4729-1,Dumbledore's Office,2002,246,451,Harry Potter,01.09.2002,01.09.2004,43.99,167.19,2.80063650829734,0.06256891380797636
65,4728-1,Escape from Privet Drive,2002,246,282,Harry Potter,01.09.2002,01.09.2004,26.39,132.0,4.001894657067071,0.07591718120781388
66,7103-1,Jedi Duel,2002,158,82,Star Wars,01.04.2002,01.04.2004,9.99,111.86,10.197197197197198,0.11605805834786409
67,7139-1,Ewok Attack,2002,158,121,Star Wars,01.01.2002,01.01.2004,11.43,80.52,6.044619422572179,0.09279570364579004
68,4727-1,Aragog in the Dark Forest,2002,246,183,Harry Potter,01.09.2002,01.09.2004,17.59,50.56,1.8743604320636724,0.049162557240892024
69,4714-1,Gringott's Bank,2002,246,263,Harry Potter,01.01.2002,01.01.2004,26.39,147.83,4.601743084501705,0.08147053214941202
70,4712-1,Troll on the Loose,2002,246,72,Harry Potter,01.01.2002,01.01.2004,8.79,83.64,8.515358361774744,0.10783190999868109
71,7204-1,Jedi Defense II,2002,158,53,Star Wars,01.01.2002,01.01.2004,6.15,72.91,10.855284552845527,0.11895901873577519
72,7203-1,Jedi Defense I,2002,158,59,Star Wars,01.01.2002,01.01.2004,6.15,93.53,14.208130081300812,0.13169844467763792
73,4726-1,Quidditch Practice,2002,246,132,Harry Potter,01.09.2002,01.09.2004,13.19,64.28,3.87338893100834,0.07464506523684022
74,7200-1,Final Duel I,2002,158,32,Star Wars,01.01.2002,01.01.2004,6.15,86.61,13.08292682926829,0.12775124359031675
