set_num;name_sets;year;theme_id;num_parts;name_themes;retail_price;sty.21;lut.21;mar.21;kwi.21;maj.21;cze.21;lip.21;sie.21;wrz.21;paź.21;lis.21;gru.21;sty.22;lut.22;mar.22;kwi.22;maj.22;cze.22;lip.22;sie.22;wrz.22;paź.22;lis.22;gru.22;sty.23;lut.23;mar.23;kwi.23;maj.23;cze.23;lip.23;sie.23;wrz.23;paź.23;lis.23;gru.23
5289-1;Toggle Joints & Connectors;1996;453;64;Technic;3.95;9.30;8.87;9.34;7.91;9.47;9.03;9.51;9.43;7.91;9.01;10.24;7.91;9.62;7.98;9.66;7.91;9.60;8.01;7.91;8.02;9.77;7.91;10.48;8.05;9.75;7.91;9.31;8.08;7.91;6.83;8.43;7.91;6.32;8.13;7.91;7.01
7121-1;Naboo Swamp;1999;158;82;Star Wars;8.79;60.92;56.85;56.33;60.49;56.21;59.39;76.99;64.62;60.71;50.15;63.46;71.41;65.86;62.12;63.70;71.46;83.28;91.60;84.48;87.28;108.13;80.35;84.30;76.07;56.90;70.27;72.70;58.29;71.98;91.15;79.82;70.74;85.92;91.52;71.70;66.79
7111-1;Droid Fighter;1999;158;62;Star Wars;5.27;28.77;27.33;32.72;26.24;30.09;38.49;34.32;33.86;32.33;34.92;32.24;35.54;29.38;34.13;34.41;36.55;31.04;38.34;26.51;30.63;37.83;46.72;44.04;55.27;44.19;50.85;46.50;54.41;42.72;48.57;42.17;56.06;47.54;41.01;50.64;39.90
7171-1;Mos Espa Podrace;1999;158;907;Star Wars;79.19;275.43;327.97;367.35;321.87;310.48;360.35;239.80;320.69;301.84;327.68;298.39;309.32;382.01;301.85;331.79;294.98;314.78;392.78;290.03;294.61;353.18;331.99;362.83;339.73;354.51;329.58;333.09;304.65;323.50;339.89;334.51;433.46;367.34;431.05;375.69;349.02
7104-1;Desert Skiff;2000;158;55;Star Wars;5.27;66.64;46.98;62.45;60.68;49.82;61.53;45.53;55.92;60.70;64.79;57.77;69.29;66.75;59.62;59.08;65.25;71.95;72.00;70.62;72.82;62.50;64.70;67.07;68.04;63.55;71.33;64.62;62.74;68.10;77.60;66.18;64.22;79.69;74.27;65.38;59.95
4714-1;Gringott's Bank;2002;246;263;Harry Potter;26.39;136.20;168.20;157.38;143.65;177.40;131.28;132.00;138.09;170.54;129.14;137.82;169.39;146.76;142.53;141.12;174.29;160.82;133.83;165.29;163.64;121.09;116.75;144.19;131.98;162.99;203.74;149.87;169.40;180.55;159.24;172.26;212.74;213.10;183.90;189.96;158.04
7201-1;Final Duel II;2002;158;26;Star Wars;6.15;33.40;34.24;34.76;34.29;34.82;35.35;30.77;33.52;43.06;35.87;33.56;35.01;42.25;55.64;37.10;44.47;54.92;39.65;45.75;49.31;64.75;51.28;60.79;69.09;48.93;52.40;60.00;59.20;48.84;54.87;67.77;47.04;55.18;55.01;54.67;42.67
4712-1;Troll on the Loose;2002;246;72;Harry Potter;8.79;69.04;85.26;84.51;77.81;104.40;80.22;99.07;76.62;92.54;73.15;62.95;79.23;72.48;85.80;89.20;88.35;101.20;88.15;84.71;81.25;88.00;89.91;100.86;94.14;117.88;96.14;81.18;88.99;97.53;93.49;83.87;107.76;96.93;71.85;93.41;83.11
4481-1;Hailfire Droid;2003;158;680;Star Wars;43.99;192.90;185.72;183.33;177.71;222.91;192.60;177.44;213.51;224.40;277.13;221.09;248.70;176.00;217.36;243.30;206.84;255.45;257.76;175.12;193.59;230.77;202.40;199.46;226.55;269.30;291.30;246.53;287.42;247.74;245.96;288.07;302.90;298.43;220.84;272.73;228.94
4400-1;Creations and Bricks {Red Tub};2003;22;705;Creator;17.59;62.94;71.99;57.15;58.26;71.99;70.31;86.84;58.26;71.99;70.31;83.60;71.99;88.91;99.00;73.26;52.80;62.40;77.06;52.80;65.21;71.99;88.91;64.64;71.99;88.91;98.85;126.22;155.89;115.36;142.46;164.26;121.55;133.41;98.72;123.40;125.76
